UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
AS21;-3;Waypoint;1;8,7;0,6612681;40,45587;36,51992;19,85451;470,5534;(-33.29, -0.44, 108.01);23,50107;False;False;1;0,608512;0,00;0,00;0,00;2;2;0;0;0;0,2;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,8;0,8226391;39,6352;35,60548;19,85451;469,7321;(-33.46, -0.44, 108.71);24,90551;False;False;1;0,6633388;0,00;0,00;0,00;2;2;0;0;0;0,3;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,9;0,876049;38,76133;34,69103;19,85451;468,8574;(-33.64, -0.44, 109.46);26,2964;False;False;1;0,7212577;0,00;0,00;0,00;2;2;0;0;0;0,4;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;9,0;0,7933785;37,96999;33,77659;19,85451;468,0652;(-33.80, -0.44, 110.13);28,11879;False;False;1;0,7736148;0,00;0,00;0,00;2;2;0;0;0;0,5;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;9,1;0,9749918;36,99764;32,86215;19,85451;467,0916;(-33.99, -0.44, 110.96);29,46138;False;False;1;0,837942;0,00;0,00;0,00;2;2;0;0;0;0,6;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;9,2;1,026053;35,97451;31,7191;19,85451;466,0672;(-34.20, -0.44, 111.84);30,78765;False;False;1;0,905551;0,00;0,00;0,00;2;2;0;0;0;0,7;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;9,3;0,9198328;35,05743;30,57604;19,85451;465,1487;(-34.38, -0.44, 112.62);32,52738;False;False;1;0,9660722;0,00;0,00;0,00;2;2;0;0;0;0,8;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;9,4;1,120259;33,94073;29,6616;19,85451;464,0302;(-34.61, -0.44, 113.57);33,80665;False;False;1;1,039811;0,00;0,00;0,00;2;2;0;0;0;0,9;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;9,5;1,168732;32,77597;28,28993;19,85451;462,8632;(-34.85, -0.44, 114.57);35,07;False;False;1;1,116722;0,00;0,00;0,00;2;2;0;0;0;1,0;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;9,6;0,9346052;31,84476;27,37549;19,85451;461,93;(-35.03, -0.44, 115.36);31,57213;False;False;1;1,178101;0,00;0,00;0,00;2;2;0;0;0;1,1;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;9,7;0,9608126;30,88765;26,68966;19,85451;460,9708;(-35.23, -0.44, 116.18);28,14088;False;False;1;1,24143;0,00;0,00;0,00;2;2;0;0;0;1,2;0,0;0,0;True;False;-1;Left;
